,Action,State (Before),State (After),Total Reward
1,0,"[ 76   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 165 161   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  18  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  27  77  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[ 80   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  69 108   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  19  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  26  82  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
2,0,"[ 80   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  69 108   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  19  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  26  82  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[ 84   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 227 242   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  20  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  25  87  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
3,0,"[ 84   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 227 242   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  20  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  25  87  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[ 88   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 170 234   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  21  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  24  92  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
4,0,"[ 88   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 170 234   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  21  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  24  92  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[ 92   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 147  65   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  22  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  24  92  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
5,0,"[ 92   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 147  65   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  22  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  24  92  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[ 96   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  60 182   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  23  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  23  97  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
6,0,"[ 96   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2  60 182   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  23  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  23  97  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[100   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2   5 172   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  24  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  22 102  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
7,0,"[100   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2   5 172   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  24  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  22 102  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[104   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 238   2   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  25  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  21 107  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
8,0,"[104   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 238   2   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  25  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  21 107  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[108   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 157 124   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  26  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  20 112  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
9,0,"[108   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 157 124   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  26  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  20 112  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[112   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 146 141   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  27  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  20 112  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
10,0,"[112   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 146 141   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  27  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  20 112  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]","[116   0   0   2  83 240   0   0 112   0 224 240 192 128 240   0 248 240
 248 192 240 128 254 240 254 224 240 193 255 170 170   0   0   1  80 221
 144 221 144 221 144 221 144 221 255  62  26   6  23   0  49   0   0   0
   0   0   0   0   5  15  30   0   2 173 159   0  20 227 206  48 142  21
   0   0  93  60  43 234  21 178   0   0 255 255  28  30  18 240 236 160
 226 151 229 101  45  20  31   0 253   6  19 117  32   0 255  45   1 196
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3 222 144 221
  36 215]",0.0
