,Action,State (Before),State (After),Total Reward
1,0,"[ 0.01941996, -0.04603798, -0.03519379,  0.03997723]",[ 0.0184992  -0.24063805 -0.03439424  0.32135174],1
2,0,[ 0.0184992  -0.24063805 -0.03439424  0.32135174],[ 0.01368644 -0.43525374 -0.02796721  0.6029927 ],2
3,0,[ 0.01368644 -0.43525374 -0.02796721  0.6029927 ],[ 0.00498136 -0.6299736  -0.01590735  0.886737  ],3
4,1,[ 0.00498136 -0.6299736  -0.01590735  0.886737  ],[-0.00761811 -0.43463936  0.00182739  0.5890961 ],4
5,1,[-0.00761811 -0.43463936  0.00182739  0.5890961 ],[-0.0163109  -0.23954305  0.01360931  0.2969894 ],5
6,1,[-0.0163109  -0.23954305  0.01360931  0.2969894 ],[-0.02110176 -0.04461772  0.0195491   0.00862952],6
7,1,[-0.02110176 -0.04461772  0.0195491   0.00862952],[-0.02199411  0.15021849  0.01972169 -0.2778219 ],7
8,1,[-0.02199411  0.15021849  0.01972169 -0.2778219 ],[-0.01898974  0.3450536   0.01416525 -0.56421995],8
9,1,[-0.01898974  0.3450536   0.01416525 -0.56421995],[-0.01208867  0.539974    0.00288085 -0.85240674],9
10,1,[-0.01208867  0.539974    0.00288085 -0.85240674],[-0.00128919  0.7350565  -0.01416728 -1.1441823 ],10
11,0,[-0.00128919  0.7350565  -0.01416728 -1.1441823 ],[ 0.01341194  0.5401225  -0.03705093 -0.8559757 ],11
12,0,[ 0.01341194  0.5401225  -0.03705093 -0.8559757 ],[ 0.02421439  0.3455245  -0.05417044 -0.5751695 ],12
13,0,[ 0.02421439  0.3455245  -0.05417044 -0.5751695 ],[ 0.03112488  0.15120213 -0.06567384 -0.3000318 ],13
14,0,[ 0.03112488  0.15120213 -0.06567384 -0.3000318 ],[ 0.03414892 -0.04292526 -0.07167447 -0.02876271],14
15,0,[ 0.03414892 -0.04292526 -0.07167447 -0.02876271],[ 0.03329042 -0.23695007 -0.07224973  0.24047299],15
16,0,[ 0.03329042 -0.23695007 -0.07224973  0.24047299],[ 0.02855142 -0.43096954 -0.06744026  0.50952   ],16
17,0,[ 0.02855142 -0.43096954 -0.06744026  0.50952   ],[ 0.01993203 -0.6250798  -0.05724986  0.7802111 ],17
18,0,[ 0.01993203 -0.6250798  -0.05724986  0.7802111 ],[ 0.00743043 -0.8193699  -0.04164564  1.0543466 ],18
19,0,[ 0.00743043 -0.8193699  -0.04164564  1.0543466 ],[-0.00895697 -1.0139158  -0.02055871  1.333672  ],19
20,1,[-0.00895697 -1.0139158  -0.02055871  1.333672  ],[-0.02923528 -0.8185408   0.00611473  1.0346277 ],20
21,1,[-0.02923528 -0.8185408   0.00611473  1.0346277 ],[-0.0456061  -0.6235007   0.02680729  0.7438707 ],21
22,1,[-0.0456061  -0.6235007   0.02680729  0.7438707 ],[-0.05807611 -0.42875877  0.0416847   0.45974317],22
23,1,[-0.05807611 -0.42875877  0.0416847   0.45974317],[-0.06665129 -0.23425008  0.05087956  0.18048532],23
24,1,[-0.06665129 -0.23425008  0.05087956  0.18048532],[-0.07133629 -0.03989172  0.05448927 -0.0957228 ],24
25,1,[-0.07133629 -0.03989172  0.05448927 -0.0957228 ],[-0.07213413  0.15440863  0.05257481 -0.37072885],25
26,1,[-0.07213413  0.15440863  0.05257481 -0.37072885],[-0.06904595  0.34874576  0.04516023 -0.64638186],26
27,1,[-0.06904595  0.34874576  0.04516023 -0.64638186],[-0.06207104  0.5432103   0.0322326  -0.92450875],27
28,1,[-0.06207104  0.5432103   0.0322326  -0.92450875],[-0.05120683  0.73788244  0.01374242 -1.2068905 ],28
29,0,[-0.05120683  0.73788244  0.01374242 -1.2068905 ],[-0.03644918  0.5425856  -0.01039539 -0.9099328 ],29
30,0,[-0.03644918  0.5425856  -0.01039539 -0.9099328 ],[-0.02559747  0.34760588 -0.02859404 -0.6205352 ],30
31,0,[-0.02559747  0.34760588 -0.02859404 -0.6205352 ],[-0.01864535  0.1528947  -0.04100474 -0.33699328],31
32,0,[-0.01864535  0.1528947  -0.04100474 -0.33699328],[-0.01558746 -0.04162046 -0.04774461 -0.05751781],32
33,0,[-0.01558746 -0.04162046 -0.04774461 -0.05751781],[-0.01641987 -0.23602648 -0.04889497  0.21972732],33
34,0,[-0.01641987 -0.23602648 -0.04889497  0.21972732],[-0.0211404  -0.43041664 -0.04450042  0.4965947 ],34
35,0,[-0.0211404  -0.43041664 -0.04450042  0.4965947 ],[-0.02974873 -0.6248838  -0.03456853  0.7749278 ],35
36,0,[-0.02974873 -0.6248838  -0.03456853  0.7749278 ],[-0.04224641 -0.8195136  -0.01906997  1.056537  ],36
37,1,[-0.04224641 -0.8195136  -0.01906997  1.056537  ],[-0.05863668 -0.6241442   0.00206077  0.7579299 ],37
38,1,[-0.05863668 -0.6241442   0.00206077  0.7579299 ],[-0.07111956 -0.4290507   0.01721937  0.4658962 ],38
39,1,[-0.07111956 -0.4290507   0.01721937  0.4658962 ],[-0.07970057 -0.23417623  0.02653729  0.17869008],39
40,1,[-0.07970057 -0.23417623  0.02653729  0.17869008],[-0.0843841  -0.03944389  0.03011109 -0.10550454],40
41,1,[-0.0843841  -0.03944389  0.03011109 -0.10550454],[-0.08517298  0.1552339   0.028001   -0.38853753],41
42,1,[-0.08517298  0.1552339   0.028001   -0.38853753],[-0.0820683   0.34994745  0.02023025 -0.67226213],42
43,0,[-0.0820683   0.34994745  0.02023025 -0.67226213],[-0.07506935  0.15455021  0.00678501 -0.37327898],43
44,0,[-0.07506935  0.15455021  0.00678501 -0.37327898],[-0.07197835 -0.04066747 -0.00068057 -0.07846441],44
45,0,[-0.07197835 -0.04066747 -0.00068057 -0.07846441],[-0.0727917  -0.23577966 -0.00224986  0.21400371],45
