,Action,State (Before),State (After),Total Reward
1,0,"[ 0.00768492, -0.0081487 ,  0.00578686,  0.03706706]",[ 0.00752195 -0.20335315  0.0065282   0.33157018],1
2,0,[ 0.00752195 -0.20335315  0.0065282   0.33157018],[ 0.00345489 -0.3985674   0.0131596   0.6263046 ],2
3,0,[ 0.00345489 -0.3985674   0.0131596   0.6263046 ],[-0.00451646 -0.5938706   0.0256857   0.92310274],3
4,0,[-0.00451646 -0.5938706   0.0256857   0.92310274],[-0.01639387 -0.78932995  0.04414775  1.2237458 ],4
5,1,[-0.01639387 -0.78932995  0.04414775  1.2237458 ],[-0.03218047 -0.5948036   0.06862267  0.9452158 ],5
6,1,[-0.03218047 -0.5948036   0.06862267  0.9452158 ],[-0.04407654 -0.4006697   0.08752698  0.67485964],6
7,1,[-0.04407654 -0.4006697   0.08752698  0.67485964],[-0.05208994 -0.20686612  0.10102418  0.4109672 ],7
8,1,[-0.05208994 -0.20686612  0.10102418  0.4109672 ],[-0.05622726 -0.0133106   0.10924352  0.15176482],8
9,1,[-0.05622726 -0.0133106   0.10924352  0.15176482],[-0.05649347  0.18009132  0.11227882 -0.10455494],9
10,1,[-0.05649347  0.18009132  0.11227882 -0.10455494],[-0.05289165  0.37344012  0.11018772 -0.3598113 ],10
11,1,[-0.05289165  0.37344012  0.11018772 -0.3598113 ],[-0.04542284  0.5668374   0.10299149 -0.6158182 ],11
12,1,[-0.04542284  0.5668374   0.10299149 -0.6158182 ],[-0.03408609  0.76038104  0.09067513 -0.8743693 ],12
13,1,[-0.03408609  0.76038104  0.09067513 -0.8743693 ],[-0.01887847  0.9541609   0.07318775 -1.1372231 ],13
14,1,[-0.01887847  0.9541609   0.07318775 -1.1372231 ],[ 2.0474453e-04  1.1482533e+00  5.0443280e-02 -1.4060844e+00],14
15,0,[ 2.0474453e-04  1.1482533e+00  5.0443280e-02 -1.4060844e+00],[ 0.02316981  0.95254284  0.02232159 -1.098068  ],15
16,0,[ 0.02316981  0.95254284  0.02232159 -1.098068  ],[ 4.2220671e-02  7.5713426e-01  3.6023281e-04 -7.9846615e-01],16
17,0,[ 4.2220671e-02  7.5713426e-01  3.6023281e-04 -7.9846615e-01],[ 0.05736335  0.56200737 -0.01560909 -0.5056699 ],17
18,1,[ 0.05736335  0.56200737 -0.01560909 -0.5056699 ],[ 0.0686035   0.7573458  -0.02572249 -0.8032307 ],18
19,0,[ 0.0686035   0.7573458  -0.02572249 -0.8032307 ],[ 0.08375042  0.5625858  -0.0417871  -0.51874894],19
20,0,[ 0.08375042  0.5625858  -0.0417871  -0.51874894],[ 0.09500214  0.3680763  -0.05216208 -0.23952124],20
21,0,[ 0.09500214  0.3680763  -0.05216208 -0.23952124],[ 0.10236366  0.17373683 -0.05695251  0.0362628 ],21
22,0,[ 0.10236366  0.17373683 -0.05695251  0.0362628 ],[ 0.1058384  -0.02052413 -0.05622725  0.3104468 ],22
23,0,[ 0.1058384  -0.02052413 -0.05622725  0.3104468 ],[ 0.10542791 -0.21480179 -0.05001831  0.58488065],23
24,0,[ 0.10542791 -0.21480179 -0.05001831  0.58488065],[ 0.10113188 -0.40918875 -0.0383207   0.86139715],24
25,0,[ 0.10113188 -0.40918875 -0.0383207   0.86139715],[ 0.0929481  -0.60376847 -0.02109276  1.141789  ],25
26,0,[ 0.0929481  -0.60376847 -0.02109276  1.141789  ],[ 0.08087274 -0.7986085   0.00174302  1.4277831 ],26
27,1,[ 0.08087274 -0.7986085   0.00174302  1.4277831 ],[ 0.06490056 -0.6035081   0.03029868  1.1356455 ],27
28,1,[ 0.06490056 -0.6035081   0.03029868  1.1356455 ],[ 0.0528304 -0.4087954  0.0530116  0.8526169],28
29,1,[ 0.0528304 -0.4087954  0.0530116  0.8526169],[ 0.04465449 -0.21443464  0.07006393  0.57706344],29
30,1,[ 0.04465449 -0.21443464  0.07006393  0.57706344],[ 0.0403658  -0.02036107  0.0816052   0.30724925],30
31,1,[ 0.0403658  -0.02036107  0.0816052   0.30724925],[0.03995858 0.17350899 0.08775019 0.04137725],31
32,1,[0.03995858 0.17350899 0.08775019 0.04137725],[ 0.04342876  0.36727017  0.08857773 -0.22238082],32
33,1,[ 0.04342876  0.36727017  0.08857773 -0.22238082],[ 0.05077416  0.56102175  0.08413012 -0.48586097],33
34,1,[ 0.05077416  0.56102175  0.08413012 -0.48586097],[ 0.0619946   0.754862    0.0744129  -0.75088793],34
35,1,[ 0.0619946   0.754862    0.0744129  -0.75088793],[ 0.07709184  0.9488832   0.05939513 -1.0192571 ],35
36,0,[ 0.07709184  0.9488832   0.05939513 -1.0192571 ],[ 0.0960695   0.7530221   0.03901    -0.70853156],36
37,0,[ 0.0960695   0.7530221   0.03901    -0.70853156],[ 0.11112994  0.5573821   0.02483936 -0.40382883],37
38,0,[ 0.11112994  0.5573821   0.02483936 -0.40382883],[ 0.12227758  0.36191684  0.01676279 -0.10341936],38
39,0,[ 0.12227758  0.36191684  0.01676279 -0.10341936],[0.12951592 0.16655871 0.0146944  0.19450468],39
40,1,[0.12951592 0.16655871 0.0146944  0.19450468],[ 0.1328471   0.36146742  0.01858449 -0.09350682],40
41,1,[ 0.1328471   0.36146742  0.01858449 -0.09350682],[ 0.14007644  0.55631816  0.01671436 -0.3802689 ],41
42,1,[ 0.14007644  0.55631816  0.01671436 -0.3802689 ],[ 0.15120281  0.7511988   0.00910898 -0.66763526],42
43,1,[ 0.15120281  0.7511988   0.00910898 -0.66763526],[ 0.16622677  0.9461929  -0.00424373 -0.95743626],43
44,1,[ 0.16622677  0.9461929  -0.00424373 -0.95743626],[ 0.18515064  1.1413716  -0.02339245 -1.2514495 ],44
45,0,[ 0.18515064  1.1413716  -0.02339245 -1.2514495 ],[ 0.20797807  0.9465571  -0.04842144 -0.9661843 ],45
46,0,[ 0.20797807  0.9465571  -0.04842144 -0.9661843 ],[ 0.22690922  0.75211775 -0.06774513 -0.6890975 ],46
47,0,[ 0.22690922  0.75211775 -0.06774513 -0.6890975 ],[ 0.24195157  0.5579981  -0.08152708 -0.41848782],47
48,0,[ 0.24195157  0.5579981  -0.08152708 -0.41848782],[ 0.25311154  0.3641204  -0.08989684 -0.15257956],48
49,0,[ 0.25311154  0.3641204  -0.08989684 -0.15257956],[ 0.26039395  0.17039298 -0.09294842  0.11044408],49
50,0,[ 0.26039395  0.17039298 -0.09294842  0.11044408],[ 0.2638018  -0.02328264 -0.09073954  0.372416  ],50
51,0,[ 0.2638018  -0.02328264 -0.09073954  0.372416  ],[ 0.26333615 -0.21700627 -0.08329123  0.6351651 ],51
